ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount,log_price,daily_log_return
000001.SH,20000719,1998.426,2000.33,2004.461,1987.42,1993.986,4.44,0.2227,9708373.0,12685114.022,7.6001151496950055,0.0022242202610591733
000001.SH,20000720,1991.56,1999.089,2003.802,1979.875,1998.426,-6.866,-0.3436,9282877.0,12997399.525,7.596673530212047,-0.0034416194829587354
000001.SH,20000721,1996.336,1994.423,1998.347,1991.838,1991.56,4.776,0.2398,8593139.0,10809192.538,7.599068779377728,0.0023952491656809016
000001.SH,20000724,1989.239,1998.245,1999.903,1982.881,1996.336,-7.097,-0.3555,9275178.0,11390178.883,7.595507432520098,-0.0035613468576292107
000001.SH,20000725,1996.577,1990.149,1997.849,1989.086,1989.239,7.338,0.3689,8751701.0,11050167.962,7.599189493252682,0.003682060732583814
000001.SH,20000726,2012.319,1999.442,2012.395,1999.403,1996.577,15.742,0.7884,9512068.0,11679823.681,7.607043067359865,0.007853574107183015
000001.SH,20000727,2012.35,2017.457,2024.998,2004.549,2012.319,0.031,0.0015,11983273.0,14663281.244,7.607058472353419,1.5404993553680413e-05
000001.SH,20000728,2012.793,2014.113,2016.94,2006.172,2012.35,0.443,0.022,10943815.0,13327394.014,7.607278588757626,0.0002201164042068271
000001.SH,20000731,2023.539,2016.144,2023.568,2008.637,2012.793,10.746,0.5339,12307292.0,15328029.544,7.612603237666141,0.00532464890851525
000001.SH,20000801,2028.151,2027.013,2031.925,2023.453,2023.539,4.612,0.2279,9020655.0,11273846.756,7.614879819532933,0.002276581866792249
000001.SH,20000802,2030.683,2030.789,2033.191,2018.481,2028.151,2.532,0.1248,8974286.0,11096046.306,7.6161274686501175,0.0012476491171842241
000001.SH,20000803,2036.301,2032.937,2038.654,2030.101,2030.683,5.618,0.2767,10972990.0,13159629.109,7.618890205643123,0.0027627369930058876
000001.SH,20000804,2026.361,2037.468,2041.283,2013.45,2036.301,-9.94,-0.4881,11739186.0,14517949.662,7.613996852548845,-0.004893353094278297
000001.SH,20000807,2039.419,2025.182,2039.419,2017.903,2026.361,13.058,0.6444,10712714.0,13194100.193,7.620420242352354,0.006423389803509316
000001.SH,20000808,2049.916,2042.745,2050.073,2040.783,2039.419,10.497,0.5147,10864612.0,13489696.737,7.625554095683174,0.00513385333082006
000001.SH,20000809,2061.18,2051.654,2061.284,2048.494,2049.916,11.264,0.5495,12269671.0,15774777.618,7.631033913321413,0.005479817638238238
000001.SH,20000810,2065.943,2065.305,2067.745,2053.861,2061.18,4.763,0.2311,13225593.0,17966576.839,7.6333420597539705,0.002308146432557834
000001.SH,20000811,2062.666,2067.784,2070.298,2055.2,2065.943,-3.277,-0.1586,11361760.0,15406527.866,7.631754599818589,-0.0015874599353811192
000001.SH,20000814,2076.3,2065.935,2076.328,2065.935,2062.666,13.634,0.661,10806685.0,13785725.922,7.638342742515928,0.006588142697338206
000001.SH,20000815,2076.823,2079.069,2082.736,2066.16,2076.3,0.523,0.0252,10340448.0,12776113.99,7.6385946011788,0.0002518586628728059
000001.SH,20000816,2083.467,2078.485,2083.467,2072.984,2076.823,6.644,0.3199,10645982.0,13458292.833,7.641788612004173,0.0031940108253722954
000001.SH,20000817,2091.586,2086.809,2092.329,2086.559,2083.467,8.119,0.3897,11114048.0,13776078.846,7.6456779088511455,0.0038892968469728117
000001.SH,20000818,2090.183,2093.632,2097.315,2086.754,2091.586,-1.403,-0.0671,10340955.0,12914594.476,7.645006900934333,-0.0006710079168126271
000001.SH,20000821,2108.69,2095.378,2108.879,2093.418,2090.183,18.507,0.8854,13515561.0,16485780.029,7.653822180580462,0.008815279646128715
000001.SH,20000822,2074.703,2112.017,2114.522,2074.52,2108.69,-33.987,-1.6118,13167622.0,15718825.765,7.63757328989024,-0.016248890690221174
000001.SH,20000823,2057.919,2064.045,2080.144,1980.345,2074.703,-16.784,-0.809,18898648.0,23007105.523,7.629450557018842,-0.00812273287139842
000001.SH,20000824,2071.161,2058.529,2073.947,2043.206,2057.919,13.242,0.6435,13746084.0,17062325.376,7.6358645985960845,0.0064140415772424575
000001.SH,20000825,2086.703,2073.715,2086.721,2066.329,2071.161,15.542,0.7504,10235342.0,13463882.545,7.64334058741502,0.0074759888189355195
000001.SH,20000828,2100.585,2092.122,2100.7,2085.601,2086.703,13.882,0.6653,11216219.0,14500828.32,7.64997115634627,0.006630568931250025
000001.SH,20000829,2105.476,2103.033,2105.634,2094.609,2100.585,4.891,0.2328,10038612.0,13338550.026,7.652296848819373,0.0023256924731027695
000001.SH,20000830,2076.143,2107.019,2108.097,2075.16,2105.476,-29.333,-1.3932,10042702.0,13796935.152,7.638267124379772,-0.0140297244396006
000001.SH,20000831,2021.199,2062.835,2064.76,2019.447,2076.143,-54.944,-2.6464,11224308.0,13998246.936,7.611446178662041,-0.026820945717731526
000001.SH,20000901,1999.859,2009.151,2026.351,1997.717,2021.199,-21.34,-1.0558,9315390.0,11909299.071,7.60083195705684,-0.010614221605200314
000001.SH,20000904,2010.602,1994.885,2010.602,1981.229,1999.859,10.743,0.5372,7638820.0,9573130.897,7.606189458698767,0.005357501641926277
000001.SH,20000905,1963.792,2015.062,2020.847,1959.592,2010.602,-46.81,-2.3282,7179583.0,8915757.703,7.582632576992296,-0.023556881706470634
000001.SH,20000906,1925.907,1955.499,1964.265,1923.598,1963.792,-37.885,-1.9292,7205827.0,8866106.842,7.563152304587874,-0.019480272404422294
000001.SH,20000907,1950.663,1929.296,1963.228,1929.296,1925.907,24.756,1.2854,6249572.0,7624529.243,7.575924593770891,0.012772289183017094
000001.SH,20000908,1959.312,1955.153,1963.891,1945.918,1950.663,8.649,0.4434,5727720.0,7143496.715,7.580348670194315,0.004424076423424239
000001.SH,20000911,1972.043,1963.271,1972.076,1956.078,1959.312,12.731,0.6498,6163198.0,7367591.968,7.586825340198683,0.006476670004367691
000001.SH,20000912,1979.095,1975.412,1979.322,1965.401,1972.043,7.052,0.3576,5435942.0,6906092.96,7.590394948492854,0.0035696082941711893
000001.SH,20000913,1988.936,1980.528,1995.317,1975.126,1979.095,9.841,0.4972,6034441.0,7726368.744,7.595355101362929,0.0049601528700753406
000001.SH,20000914,1979.505,1989.974,1992.366,1973.021,1988.936,-9.431,-0.4742,5104277.0,6510989.113,7.590602092433372,-0.004753008929557545
000001.SH,20000915,1978.434,1978.037,1978.469,1966.879,1979.505,-1.071,-0.0541,4740064.0,6103325.893,7.5900609016640646,-0.0005411907693071427
000001.SH,20000918,1946.753,1979.53,1981.129,1946.176,1978.434,-31.681,-1.6013,5176985.0,6380457.737,7.57391813548583,-0.016142766178234957
000001.SH,20000919,1903.154,1937.319,1937.367,1895.49,1946.753,-43.599,-2.2396,6742314.0,7938020.137,7.551267788877401,-0.022650346608428684
000001.SH,20000920,1922.289,1902.912,1922.295,1892.276,1903.154,19.135,1.0054,5106083.0,6535647.098,7.561271942430628,0.010004153553227368
000001.SH,20000921,1907.306,1924.83,1927.515,1905.653,1922.289,-14.983,-0.7794,4884907.0,6417924.97,7.553447054185644,-0.007824888244984507
000001.SH,20000922,1891.984,1904.573,1904.573,1888.091,1907.306,-15.322,-0.8033,5180160.0,6447665.327,7.5453812929164465,-0.008065761269197225
000001.SH,20000925,1875.911,1889.904,1896.716,1874.21,1891.984,-16.073,-0.8495,3765533.0,4674524.252,7.536849687076187,-0.00853160584025936
000001.SH,20000926,1887.829,1878.311,1890.672,1878.051,1875.911,11.918,0.6353,3448967.0,4629184.949,7.543182770569653,0.006333083493466063
000001.SH,20000927,1914.086,1889.875,1914.106,1889.873,1887.829,26.257,1.3909,3379822.0,4291880.23,7.556995503082899,0.01381273251324533
000001.SH,20000928,1889.289,1915.497,1917.061,1886.941,1914.086,-24.797,-1.2955,3818027.0,5118582.604,7.5439558468001096,-0.013039656282789025
000001.SH,20000929,1910.161,1888.201,1910.486,1888.07,1889.289,20.872,1.1048,3745591.0,5101305.167,7.554942810681921,0.01098696388181164
000001.SH,20001009,1915.35,1912.076,1915.495,1897.238,1910.161,5.189,0.2717,5166776.0,5724802.256,7.5576556525387995,0.0027128418568782564
000001.SH,20001010,1942.149,1917.896,1942.17,1917.683,1915.35,26.799,1.3992,6677506.0,7010874.613,7.571550370933803,0.013894718395003558
000001.SH,20001011,1933.726,1944.248,1948.014,1931.462,1942.149,-8.423,-0.4337,7252889.0,7663055.501,7.567203990691964,-0.004346380241838865
000001.SH,20001012,1926.324,1933.143,1933.329,1918.466,1933.726,-7.402,-0.3828,7226056.0,7630467.733,7.563368802509015,-0.003835188182948812
